Session name: Session 1
Date: 30/12/2020  Time: 17:12:04 PM
Type: EIS
Equilibration time: 3
DC Voltage: 0(Volt)
AC Voltage: 0.02(mV)
Frequency Start: 100000(Hz)
Frequency End: 0.01(Hz)
Number of Steps: 50(Hz)
Number of data:42

Frequency [Hz]  	Re(Z) [Ohm]     	Im(Z) [Ohm]     	R [Ohm]         	Theta [Degree]  

99805.0570487976	3.42237827277265	-0.349715940624449	3.44019974435688	-0.101831610240125
71968.5554504395	3.6882438589664	-1.38578646212197	3.9399932591064	-0.359411133640433
51794.707775116	4.02012168134602	-2.45851720148579	4.712290861442	-0.548871024581962
37275.9103775024	4.595284750512	-3.70009224805837	5.89977326534077	-0.677899543914095
26826.9181251526	5.4926215762156	-4.82862719489929	7.31331199709339	-0.721153938816052
19306.9577217102	6.9022275250144	-6.02987984209973	9.16516206715556	-0.718044242706456
13894.9155807495	9.30094252116528	-7.58215458411829	11.9998583291423	-0.683942455078452
9999.99046325684	11.6649581454583	-7.78302553268776	14.0230786554795	-0.588381558363748
7196.84362411499	15.8477270988884	-8.17627893351585	17.8326103361089	-0.476308302544096
5179.46481704712	17.7424002380472	-7.1194245097822	19.1175043234609	-0.381597402859317
3727.55527496338	18.9453021173805	-5.82622184486164	19.8209316961732	-0.298349356618986
2682.68585205078	19.7479665568165	-4.88645926318656	20.3435411681429	-0.242568873570062
1930.65404891968	20.3321686518006	-4.01792237520564	20.7253656734553	-0.19510033669523
1389.44387435913	20.7383231892778	-3.61700967906297	21.051384935946	-0.172674953496058
999.987125396729	21.0495306206071	-3.41146665651516	21.3241844884251	-0.160671514175615
719.666481018066	21.4383559744256	-3.43074172179184	21.7111283826482	-0.158682767454481
517.944494883219	21.6513275907118	-3.70986699286526	21.9668636711086	-0.169697996628591
372.755527496338	22.0599882951229	-4.07024417910114	22.4323420814338	-0.182455999674431
268.263476235526	22.6839277792412	-4.76106574812129	23.1781864379369	-0.206884141848977
193.065404891968	23.2412610644063	-5.73731722720623	23.9389436865849	-0.24202036203463
138.946941920689	24.2819599744787	-6.66124516182073	25.1790739962387	-0.267742256232414
99.9977714137027	26.3940931713291	-7.75338418774013	27.5093278852738	-0.285717193810285
71.9670896176939	30.9866154558865	-10.1204575951863	32.5974538782855	-0.315685040630992
51.7932992232473	29.7304888688572	-14.3654041689567	33.0191884412492	-0.450107470474171
37.2753953034023	34.3660270644168	-13.8220937051999	37.0415184703267	-0.382403433024292
26.8269229579616	36.7107063280544	-16.2403704445566	40.1425658283209	-0.416505657086597
19.3066967343821	39.5465499918695	-18.8999776481887	43.8307970650942	-0.445825842212049
13.8945512838297	42.8574687355331	-21.7427182325437	48.0573451467826	-0.469491404652882
9.99980236417684	50.2221861624219	-25.8540886183164	56.4862981723596	-0.475412776202924
7.19666911376512	55.0447876495829	-29.6319120936382	62.5138293636918	-0.493834482973459
5.179427448332	59.9079256450512	-34.2096953287938	68.9874105151213	-0.518851549405698
3.72751435237144	66.1471418406697	-39.3025365091633	76.9424054065363	-0.536120470253798
2.68268905230017	72.6720311465552	-45.5819412295723	85.7842495871012	-0.560199952286561
1.93067218946374	80.1510830195068	-53.3410339835429	96.2780453459321	-0.587198697939058
1.38946338359311	88.4048725479982	-62.7921135083306	108.435561551877	-0.617591277904605
0.999980476154215	99.4129805873603	-74.3607361887094	124.146928257568	-0.642218761760501
0.719675664167082	113.195220403561	-88.6781722424408	143.794910043683	-0.664542387686906
0.517932098475617	126.783164687691	-106.202009927321	165.386933464615	-0.697290111690786
0.372748450486324	145.040622846576	-129.179811898855	194.227202209027	-0.727622894624355
0.268264875405591	166.009766355062	-154.520672373917	226.794798697302	-0.749569499359282
0.193067719333764	203.624184828246	-192.517969797104	280.224869242125	-0.757369572159364
0.138946365698875	183.388403237915	-210.397306777115	279.102728652401	-0.853878734004347
