Session name: Session 1
Date: 20/06/2019  Time: 15:59:59 PM
Type: Linear sweep
Equilibration time: 3
Voltage Start: -5(Volt)
Voltage End: 5(Volt)
Velocity: 2.02061022428774(V/s)
Time step: 49(ms)
Number of data:101

Voltage [V]	Current [A]	Time [sec]	Real Voltage [V]

-5	-0.00489621816988276	0	-5.32818417346472
-4.9	-0.00480138617489008	0.049	-5.22135863609295
-4.8	-0.00470574316072301	0.098	-5.1194908112273
-4.7	-0.00460794378969223	0.147	-5.01458309566794
-4.6	-0.00451072644418661	0.196	-4.90013206977639
-4.5	-0.00441617114985344	0.245	-4.79761733785162
-4.4	-0.00431532807156815	0.294	-4.69410648355265
-4.3	-0.0042107352222765	0.343	-4.58781335641538
-4.2	-0.00411286906143136	0.392	-4.47915586984967
-4.1	-0.00401752183072789	0.441	-4.37812387180375
-4	-0.00392440728810454	0.49	-4.27480766210663
-3.9	-0.0038249190889106	0.539	-4.16263512302505
-3.8	-0.00372797844406448	0.588	-4.05590118311298
-3.7	-0.00363643823277968	0.637	-3.95312310849159
-3.6	-0.00354035631411822	0.686	-3.84965232808123
-3.5	-0.00344359695591109	0.735	-3.75139115319115
-3.4	-0.00334470032364436	0.784	-3.64287106281499
-3.3	-0.0032475497679531	0.833	-3.53704737265866
-3.2	-0.00314965498290181	0.882	-3.42723919300551
-3.1	-0.00305386884770396	0.931	-3.32269786728494
-3	-0.00294738680080606	0.98	-3.21866605243394
-2.9	-0.00285097093307279	1.029	-3.11376978655705
-2.8	-0.00275348642830972	1.078	-3.00896511813985
-2.7	-0.00265855901929653	1.127	-2.90535121669872
-2.6	-0.00256076918966781	1.176	-2.8014453483548
-2.5	-0.00246120465925745	1.225	-2.6868741007974
-2.4	-0.0023653994412555	1.274	-2.58390710641538
-2.3	-0.00225957575109917	1.323	-2.48183891210663
-2.2	-0.00216156646922325	1.372	-2.37647893409002
-2.1	-0.00206287974780166	1.421	-2.27372948367478
-2	-0.0019670554469956	1.47	-2.17114032881401
-1.9	-0.00187088765571568	1.519	-2.06832790514523
-1.8	-0.00176415753236444	1.568	-1.96329996792002
-1.7	-0.00166432584269663	1.617	-1.84926113059711
-1.6	-0.00156833933805569	1.666	-1.7464258075634
-1.5	-0.00147051134281876	1.715	-1.64028725113936
-1.4	-0.00137631862176356	1.764	-1.52717583809588
-1.3	-0.00127669684294089	1.813	-1.42199905499867
-1.2	-0.00117847765021983	1.862	-1.31857979815939
-1.1	-0.00108659394846116	1.911	-1.21101003142759
-1	-0.000991122679531021	1.96	-1.10395550040658
-0.899999999999999	-0.000897607398021495	2.009	-1.00228804498401
-0.8	-0.000799531326331216	2.058	-0.895536930548254
-0.7	-0.000704231802638007	2.107	-0.795730048525782
-0.6	-0.000606747297874939	2.156	-0.693638954852113
-0.5	-0.000503681072911578	2.205	-0.59008230182329
-0.399999999999999	-0.000399946949804592	2.254	-0.482558333821336
-0.3	-0.000304714215925745	2.303	-0.37358025614669
-0.199999999999999	-0.000208117061553493	2.352	-0.268958782648889
-0.0999999999999996	-0.000111252747923791	2.401	-0.165665472316695
0	-1.26900647288715E-05	2.45	-0.0564870251989621
0.100000000000001	8.31914844894968E-05	2.499	0.0465830163252196
0.2	0.000180065339521251	2.548	0.149836252768796
0.300000000000001	0.00027632854482169	2.597	0.25398828928565
0.4	0.000376894922447484	2.646	0.367031004234355
0.5	0.000471230764533464	2.695	0.47000944829884
0.600000000000001	0.000568925180141671	2.744	0.573279859266109
0.7	0.000666304729482169	2.793	0.674214535011101
0.800000000000001	0.000774265693698095	2.842	0.780559185719455
0.9	0.000870853306668295	2.891	0.883932643828884
1	0.000966315034196385	2.94	0.986550422895811
1.1	0.00106212025219834	2.989	1.09728030198716
1.2	0.00115737206888129	3.038	1.19998967851379
1.3	0.00125717513434294	3.087	1.30638585279322
1.4	0.00134907791890572	3.136	1.41855266703357
1.5	0.00144453964643381	3.185	1.52238411244149
1.6	0.0015413467116512	3.234	1.62573467118599
1.7	0.00164118794272106	3.283	1.73185605308633
1.8	0.00173548561919883	3.332	1.84263173090754
1.9	0.00183015541035662	3.381	1.94532393291047
2	0.00192573163470933	3.43	2.0472604558709
2.1	0.00203536234428432	3.479	2.15264905809366
2.2	0.00213028021189546	3.528	2.25114495147422
2.3	0.00222599001587689	3.577	2.35498784656459
2.4	0.00232229138678554	3.626	2.4569014701601
2.5	0.00242229482169028	3.675	2.57019607812297
2.6	0.00251796646006351	3.724	2.67453130955922
2.7	0.00262255930935515	3.773	2.77849442631545
2.8	0.00272199980153884	3.822	2.88302430235355
2.9	0.00282090597520762	3.871	2.98873922052649
3	0.00291597650525159	3.92	3.09248479331594
3.1	0.00301073216902785	3.969	3.19477625643269
3.2	0.00310721482657548	4.018	3.30238037221188
3.3	0.00321297172691744	4.067	3.40883951974486
3.4	0.00331394838483146	4.116	3.51403347736577
3.5	0.00341005892769907	4.165	3.61934765665253
3.6	0.0035059691011236	4.214	3.7171279448792
3.7	0.00360058164386908	4.263	3.82015791251477
3.8	0.00370342841658525	4.312	3.92846045892414
