Session name: Session 1
Date: 20/06/2019  Time: 16:57:17 PM
Type: Linear sweep
Equilibration time: 3
Voltage Start: -5(Volt)
Voltage End: 5(Volt)
Velocity: 0.5000500050005(V/s)
Time step: 198(ms)
Number of data:101

Voltage [V]	Current [A]	Time [sec]	Real Voltage [V]

-5	-0.00517716475329751	0	-5.30889716658525
-4.9	-0.00510083353688324	0.198	-5.20410394785051
-4.8	-0.00502068575964827	0.396	-5.10044997252076
-4.7	-0.00495675836590132	0.594	-4.99739138067904
-4.6	-0.00478882968978994	0.792	-4.88315217391304
-4.5	-0.0047067736321446	0.99	-4.7764411333659
-4.4	-0.00471249847337567	1.188	-4.67310202430386
-4.3	-0.00451976215192965	1.386	-4.56848055080606
-4.2	-0.00439476978505129	1.584	-4.4699102344895
-4.1	-0.00428313538104543	1.782	-4.35186400830484
-4	-0.00420012518319492	1.98	-4.25150754152418
-3.9	-0.00401979268441622	2.178	-4.13928920371275
-3.8	-0.00401502198339033	2.376	-4.03190263190034
-3.7	-0.00396922325354177	2.574	-3.92690904372252
-3.6	-0.0038490015876893	2.772	-3.82129717269174
-3.5	-0.00371828437957987	2.97	-3.72295585002443
-3.4	-0.0035236397777235	3.168	-3.61726383121641
-3.3	-0.00341105123351246	3.366	-3.50995168234001
-3.2	-0.00332327033463605	3.564	-3.40317194369809
-3.1	-0.00329082956765999	3.762	-3.29468620236932
-3	-0.00321163593063019	3.96	-3.18716223436737
-2.9	-0.00312480917195896	4.158	-3.07784066621886
-2.8	-0.00304179897410845	4.356	-2.97474772532975
-2.7	-0.0029034486443576	4.554	-2.86992588238886
-2.6	-0.00277654799706888	4.752	-2.76599138983879
-2.5	-0.00262197728383	4.95	-2.65316621885686
-2.4	-0.00258190339521251	5.148	-2.54203560087934
-2.3	-0.00243401166340987	5.346	-2.44209704750855
-2.2	-0.00228230337078652	5.544	-2.33764731924768
-2.1	-0.00232237725940401	5.742	-2.23453147899365
-2	-0.00219356833170493	5.94	-2.12635487909135
-1.9	-0.00201323583292623	6.138	-2.02350238153395
-1.8	-0.00194167531753786	6.336	-1.92162310698583
-1.7	-0.00175848039814362	6.534	-1.80589544149976
-1.6	-0.00171649822911578	6.732	-1.70019197300928
-1.5	-0.00164875427454812	6.93	-1.59766006656082
-1.4	-0.00158673516121153	7.128	-1.48367275280899
-1.3	-0.00152567018808012	7.326	-1.37266235649731
-1.2	-0.00124324468734734	7.524	-1.27078308194919
-1.1	-0.00104573766487543	7.722	-1.16801073216903
-1	-0.000941736382510992	7.92	-1.05548897777235
-0.899999999999999	-0.000851093063019052	8.118	-0.950541188324377
-0.8	-0.000763312164142648	8.316	-0.843125992305813
-0.7	-0.00067171470444553	8.514	-0.744555675989253
-0.6	-0.000691751648754275	8.712	-0.641628755495848
-0.5	-0.000437950354176844	8.91	-0.536766838666341
-0.399999999999999	-0.000466574560332193	9.108	-0.429483313996092
-0.3	-0.000298645884220811	9.306	-0.318295447606253
-0.199999999999999	-0.00014121275036639	9.504	-0.212477482291158
-0.0999999999999996	-6.67898143624817E-05	9.702	-0.110598207743039
0	-1.71745236932096E-05	9.9	-0.00199796958964338
0.100000000000001	-2.00369443087445E-05	10.098	0.103430706521739
0.2	6.58356741573034E-05	10.296	0.207010258915486
0.300000000000001	0.000297691744015633	10.494	0.311442812652662
0.4	0.000390243343917929	10.692	0.425607596482658
0.5	0.000506648448949683	10.89	0.531236642037128
0.600000000000001	0.000432225512945774	11.088	0.636361901563263
0.7	0.000799569491939424	11.286	0.735911165730337
0.800000000000001	0.000840597520762091	11.484	0.845484626893014
0.9	0.000960819186614558	11.682	0.945503328041036
1	0.000947461223742062	11.88	1.0514815889106
1.1	0.00100470963605276	12.078	1.16249198522228
1.2	0.00114878480703468	12.276	1.26626045737665
1.3	0.0013768243160723	12.474	1.37316041768442
1.4	0.00148273387884709	12.672	1.48204117305813
1.5	0.00137014533463605	12.87	1.59624030593552
1.6	0.00146460521494871	13.068	1.69773029127992
1.7	0.00163253389106009	13.266	1.80513403761602
1.8	0.00183099505373718	13.464	1.91684858939912
1.9	0.00178805874450415	13.662	2.02195094956033
2	0.00187106894235467	13.86	2.12591979115779
2.1	0.00214395304103566	14.058	2.22631060698583
2.2	0.00215731100390816	14.256	2.3294149975574
2.3	0.00228611993160723	14.454	2.43472917684416
2.4	0.00236817598925256	14.652	2.53990595994138
2.5	0.00250080147777235	14.85	2.65579392098192
2.6	0.00249126007572057	15.048	2.75865214338056
2.7	0.00269067537860283	15.246	2.86348543600391
2.8	0.00282807156814851	15.444	2.96750580117245
2.9	0.00278704353932584	15.642	3.07642663043478
3	0.00299886266487543	15.84	3.18046989496825
3.1	0.00298550470200293	16.038	3.28746717757694
3.2	0.00311240534929165	16.236	3.39528311248168
3.3	0.00323930599658036	16.434	3.49983588788471
3.4	0.00333758243771373	16.632	3.61155616450904
3.5	0.00349310729115779	16.83	3.7145861321446
3.6	0.00359138373229116	17.028	3.80965284562775
3.7	0.00373545890327308	17.226	3.91847635258915
3.8	0.00387667165363947	17.424	4.02444888861749
3.9	0.00389384617733268	17.622	4.13260258915486
4	0.00399116847826087	17.82	4.23913615962384
4.1	0.00396826911333659	18.018	4.34177111321446
4.2	0.00421348314606742	18.216	4.45296470444553
4.3	0.00436423729848559	18.414	4.5606203437958
4.4	0.00440717360771861	18.612	4.66312935087934
4.5	0.00449209208597948	18.81	4.76627954018075
4.6	0.00461422203224231	19.008	4.88036417623351
4.7	0.00463139655593552	19.206	4.98709811614558
4.8	0.00478978382999511	19.404	5.09072346726917
4.9	0.00483939912066439	19.602	5.19533349108451
5	0.00501209849780166	19.8	5.30889716658525
